,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
417,Ashley Judd,1086200000,29,$37.50 ,Divergent,150900000
418,Miranda July,4600000,3,$1.50 ,Me and You and Everyone We Know,3900000
419,Mindy Kaling,711600000,5,$142.30 ,Inside Out,356500000
420,Philip Kaufman,163200000,8,$20.40 ,Rising Sun,63200000
421,Zoe Kazan,240100000,16,$15.00 ,It's Complicated,112700000
422,Diane Keaton,1307800000,38,$34.40 ,The Godfather,135000000
423,Michael Keaton,2618100000,39,$67.10 ,Toy Story 3,415000000
424,Minka Kelly,38400000,2,$19.20 ,The Roommate,37300000
425,Alex Kendrick,78200000,3,$26.10 ,Courageous,34500000
426,Anna Kendrick,1123300000,24,$46.80 ,Pitch Perfect 2,184300000
427,Irrfan Khan,1221500000,9,$135.70 ,Jurassic World,652300000
428,Nicole Kidman,2182600000,52,$42.00 ,Aquaman,335100000
429,Val Kilmer,1041300000,35,$29.80 ,Batman Forever,184000000
430,Joey King,752800000,12,$62.70 ,Oz The Great and Powerful,234900000
431,Ben Kingsley,2084500000,53,$39.30 ,Iron Man 3,409000000
432,Greg Kinnear,1154500000,36,$32.10 ,As Good as It Gets,148500000
433,Rory Kinnear,168500000,3,$56.20 ,Quantum of Solace,168400000
434,Taylor Kitsch,606300000,10,$60.60 ,X-Men Origins: Wolverine,179900000
435,Chris Klein,481600000,14,$34.40 ,American Pie 2,145100000
436,Kevin Kline,1496000000,40,$37.40 ,Beauty and the Beast,504000000
437,Keira Knightley,1626300000,28,$58.10 ,Dead Man's Chest,423300000
438,Beyonce Knowles,613100000,7,$87.60 ,Goldmember,213300000
439,Johnny Knoxville,936200000,18,$52.00 ,Ninja Turtles,191200000
440,Boris Kodjoe,370800000,9,$41.20 ,Ferdinand,84400000
441,John Krasinski,603300000,19,$31.80 ,A Quiet Place,188000000
442,Peter Krause,155600000,4,$38.90 ,Truman Show,125600000
443,Lenny Kravitz,996900000,4,$249.20 ,Catching Fire,424700000
444,Lisa Kudrow,688400000,21,$32.80 ,The Boss Baby,175000000
445,Mila Kunis,1249100000,20,$62.50 ,Oz The Great and Powerful,234900000
446,Olga Kurylenko,404500000,15,$27.00 ,Quantum of Solace,168400000
447,Ashton Kutcher,957400000,20,$47.90 ,Cheaper by the Dozen,138600000
448,Shia LaBeouf,2129400000,22,$96.80 ,Transformers 2,402100000
449,Diane Lane,2027800000,43,$47.20 ,Inside Out,356500000
450,Jessica Lange,410900000,13,$31.60 ,Tootsie,177200000
451,Frank Langella,679500000,32,$21.20 ,Superman Returns,200100000
452,Larry the Cable Guy,617000000,7,$88.10 ,Cars,244100000
453,Brie Larson,1377900000,11,$125.30 ,Avengers: Endgame,452400000
454,Ali Larter,552700000,12,$46.10 ,Legally Blonde,96500000
455,Sanaa Lathan,488800000,15,$32.60 ,Alien Vs. Predator,80300000
456,Queen Latifah,2049900000,31,$66.10 ,Ice Age 3,196600000
457,Melanie Laurent,263400000,8,$32.90 ,Inglourious Basterds,120500000
458,Hugh Laurie,890300000,17,$52.40 ,Monsters Vs. Aliens,198400000
459,Taylor Lautner,1482200000,8,$185.30 ,The Twilight Saga: Eclipse,300500000
460,Jude Law,2247400000,43,$52.30 ,Captain Marvel,416000000
461,Jennifer Lawrence,2533600000,20,$126.70 ,Catching Fire,424700000
462,Martin Lawrence,1294400000,25,$51.80 ,Wild Hogs,168300000
463,Sharon Leal,297300000,7,$42.50 ,Dreamgirls,103400000
464,Matt LeBlanc,73600000,3,$24.50 ,Lost in Space,69100000
465,Heath Ledger,955900000,15,$63.70 ,The Dark Knight,535200000
466,Christopher Lee,1666400000,8,$208.30 ,Revenge of the Sith,380300000
467,John Leguizamo,1982000000,53,$37.40 ,Ice Age 3,196600000
468,Melissa Leo,880300000,32,$27.50 ,The Equalizer 2,102100000
469,Tea Leoni,730200000,13,$56.20 ,Jurassic Park III,181200000
470,Logan Lerman,510000000,15,$34.00 ,Noah,101200000
471,Jared Leto,631100000,12,$52.60 ,Suicide Squad,325100000
472,Tracy Letts,138300000,7,$19.80 ,The Post,81900000
473,Zachary Levi,829500000,7,$118.50 ,Alvin and the Chipmunks 2,219600000
474,Jet Li,822200000,18,$45.70 ,Lethal Weapon 4,130400000
475,Matthew Lillard,716700000,25,$28.70 ,Scooby-Doo,153300000
476,Evangeline Lilly,1448200000,6,$241.40 ,Avengers: Endgame,452400000
477,Laura Linney,979300000,37,$26.50 ,Truman Show,125600000
478,Lucy Liu,1038300000,18,$57.70 ,Kung Fu Panda,215400000
479,Blake Lively,538600000,12,$44.90 ,Green Lantern,116600000
480,Ron Livingston,485800000,28,$17.30 ,The Conjuring,137400000
481,Lindsay Lohan,492400000,15,$32.80 ,Freaky Friday,110200000
482,Justin Long,1541000000,35,$44.00 ,Alvin and the Chipmunks 2,219600000
483,Nia Long,796500000,22,$36.20 ,Big Momma's House,117600000
484,Jennifer Lopez,1293700000,28,$46.20 ,Home,177400000
485,Rob Lowe,703600000,25,$28.10 ,The Spy Who Shagged Me,206000000
486,Jessica Lucas,229300000,5,$45.90 ,Cloverfield,80000000
487,Josh Lucas,791100000,24,$33.00 ,A Beautiful Mind,170700000
488,Derek Luke,582800000,17,$34.30 ,Captain America,176700000
489,Diego Luna,901900000,16,$56.40 ,Rogue One,532200000
490,Kellan Lutz,1537400000,17,$90.40 ,The Twilight Saga: Eclipse,300500000
491,David Lynch,956000,1,$956k,Lucky (2017),956000
492,Bernie Mac,989600000,14,$70.70 ,Ocean's Eleven,183400000
493,Seth MacFarlane,777600000,7,$111.10 ,Sing,270400000
494,Anthony Mackie,3045100000,37,$82.30 ,Avengers: Infinity War,678800000
495,William H. Macy,1246200000,39,$32.00 ,Jurassic Park III,181200000
496,Madonna,349300000,14,$24.90 ,League of Their Own,107500000
497,Virginia Madsen,476000000,31,$15.40 ,Sideways,71500000
498,Tobey Maguire,1537500000,14,$109.80 ,Spider-Man,403700000
499,John Malkovich,1585700000,51,$31.10 ,Transformers 3,352400000
500,Jena Malone,1321400000,24,$55.10 ,Catching Fire,424700000
501,Leslie Mann,1545800000,27,$57.30 ,Big Daddy,163500000
502,Thomas Mann,307400000,7,$43.90 ,Kong: Skull Island,168100000
503,Kate Mara,468200000,15,$31.20 ,The Martian,228400000
504,Rooney Mara,487300000,21,$23.20 ,Girl with the Dragon Tattoo,102500000
505,Brit Marling,17500000,8,$2.20 ,Arbitrage,7900000
506,James Marsden,1845400000,35,$52.70 ,X-Men: The Last Stand,234400000
507,Garry Marshall,67200000,1,$67.20 ,Race to Witch Mountain,67200000
508,Demetri Martin,17600000,4,$4.40 ,Taking Woodstock,7500000
509,Steve Martin,1786000000,37,$48.30 ,Home,177400000
510,Peter Mayhew,1997400000,4,$499.40 ,Star Wars: The Force Awakens,936700000
511,Rachel McAdams,1697400000,26,$65.30 ,Doctor Strange,232600000
512,Callan McAuliffe,56900000,3,$19.00 ,I Am Number Four,55100000
513,James McAvoy,1578000000,25,$63.10 ,The Chronicles of Narnia,291700000
514,Danny McBride,809700000,18,$45.00 ,Tropic Thunder,110500000
515,Melissa McCarthy,1194200000,16,$74.60 ,Bridesmaids,169100000
516,Matthew McConaughey,1962000000,41,$47.90 ,Sing,270400000
517,Ian McDiarmid,1474800000,4,$368.70 ,The Phantom Menace,474500000
518,Frances McDormand,1448000000,37,$39.10 ,Transformers 3,352400000
519,Ewan McGregor,2692800000,49,$55.00 ,Beauty and the Beast,504000000
520,Ian McKellen,3654400000,32,$114.20 ,Beauty and the Beast,504000000
521,Katherine McPhee,67100000,2,$33.60 ,The House Bunny,48200000
522,Leighton Meester,264000000,10,$26.40 ,Date Night,98700000
523,Carlos Mencia,57000000,2,$28.50 ,The Heartbreak Kid,36800000
524,Ben Mendelsohn,1986800000,28,$71.00 ,Rogue One,532200000
525,Eva Mendes,873400000,19,$46.00 ,Hitch,179500000
526,Scott Mescudi,43700000,3,$14.60 ,Need for Speed,43600000
527,Chris Messina,221200000,18,$12.30 ,Julie & Julia,94100000
528,Chrissy Metz,28800000,1,$28.80 ,Breakthrough,28800000
529,Breckin Meyer,433600000,12,$36.10 ,Garfield,75400000
530,Jonathan Rhys Meyers,336000000,18,$18.70 ,Mission: Impossible III,134000000
531,Alyson Michalka,100900000,3,$33.60 ,Easy A,58400000
532,Bette Midler,754600000,21,$35.90 ,First Wives Club,105500000
533,Mads Mikkelsen,1176500000,17,$69.20 ,Rogue One,532200000
534,Ezra Miller,759700000,12,$63.30 ,Fantastic Beasts and Where To Find Them,234000000
535,Nicki Minaj,137900000,2,$69.00 ,The Other Woman,83900000
536,Christopher Mintz-Plasse,1278600000,14,$91.30 ,How to Train Your Dragon,217600000
537,Helen Mirren,1630000000,49,$33.30 ,Monsters University,268500000
538,John Cameron Mitchell,9300000,3,$3.10 ,Band of the Hand,4900000
539,Radha Mitchell,600000000,24,$25.00 ,Olympus Has Fallen,98900000
540,Alfred Molina,1173800000,43,$27.30 ,Spider-Man 2,373600000
541,Jason Momoa,595100000,6,$99.20 ,Aquaman,335100000
542,Michelle Monaghan,939500000,21,$44.70 ,Mission: Impossible 6,220200000
543,Demi Moore,1025300000,32,$32.00 ,Ghost,217600000
544,Joel David Moore,915100000,14,$65.40 ,Avatar,760500000
545,Julianne Moore,2086600000,60,$34.80 ,Mockingjay Part 1,337100000
546,Mandy Moore,478500000,14,$34.20 ,Tangled,200800000
547,Michael Moore,149000,1,$149k,Michael Moore In TrumpLand,149000
548,Roger Moore,587800000,15,$39.20 ,The Cannonball Run,72200000
549,Chloe Moretz,800600000,23,$34.80 ,The Equalizer,101500000
550,Jeffrey Dean Morgan,289600000,14,$20.70 ,Watchmen,107500000
551,Tracy Morgan,583700000,15,$38.90 ,Rio 2,131500000
552,Viggo Mortensen,1615300000,30,$53.80 ,Return of the King,377800000
553,Carrie-Anne Moss,872500000,17,$51.30 ,The Matrix Reloaded,281600000
554,Elisabeth Moss,309300000,20,$15.50 ,Us,173300000
555,Bridget Moynahan,696600000,13,$53.60 ,"I, Robot",144800000
556,Carey Mulligan,321000000,12,$26.80 ,The Great Gatsby,144800000
557,Frankie Muniz,233000000,7,$33.30 ,Racing Stripes,49800000
558,Brittany Murphy,706900000,16,$44.20 ,Happy Feet,198000000
559,Cillian Murphy,902200000,19,$47.50 ,Inception,292600000
560,Eddie Murphy,3811100000,39,$97.70 ,Shrek 2,441200000
561,Bill Murray,2086500000,44,$47.40 ,The Jungle Book,364000000
562,Mike Myers,2427800000,16,$151.70 ,Shrek 2,441200000
563,Kumail Nanjiani,536700000,13,$41.30 ,Central Intelligence,127400000
564,Naturi Naughton,47200000,2,$23.60 ,Lottery Ticket,24700000
565,Liam Neeson,3067200000,69,$44.50 ,The Phantom Menace,474500000
566,Craig T. Nelson,1799300000,23,$78.20 ,Incredibles 2,608600000
567,Paul Newman,1082000000,20,$54.10 ,Cars,244100000
568,Kathryn Newton,321700000,6,$53.60 ,Bad Teacher,100300000
569,Thandie Newton,1117800000,24,$46.60 ,Mission: Impossible II,215400000
570,Mike Nichols,215000,1,$215k,The Designated Mourner,215000
571,Jack Nicholson,1796000000,34,$52.80 ,Batman,251200000
572,Leslie Nielsen,617900000,19,$32.50 ,Scary Movie 3,110000000
573,Leonard Nimoy,820300000,11,$74.60 ,Star Trek,257700000
574,Chuck Norris,279700000,17,$16.50 ,The Expendables 2,85000000
575,Dean Norris,110900000,8,$13.90 ,Death Wish (2018),34000000
576,Edward Norton,1103700000,26,$42.50 ,The Incredible Hulk,134800000
577,Lupita Nyong'o,2951900000,8,$369.00 ,Star Wars: The Force Awakens,936700000
578,Michael Nyqvist,319400000,10,$31.90 ,Mission: Impossible 4,209400000
579,Jack O'Connell,269200000,9,$29.90 ,Unbroken,115600000
580,Chris O'Donnell,779300000,19,$41.00 ,Batman Forever,184000000
581,Jason O'Mara,77300000,3,$25.80 ,Resident Evil: Extinction,50600000
582,Sophie Okonedo,125200000,8,$15.60 ,The Secret Life of Bees,37800000
583,Gary Oldman,3450300000,42,$82.20 ,The Dark Knight,535200000
584,Elizabeth Olsen,2257800000,17,$132.80 ,Avengers: Infinity War,678800000
585,Mary-Kate Olsen,63500000,4,$15.90 ,Beastly,27900000
586,Timothy Olyphant,711700000,23,$30.90 ,Live Free or Die Hard,134500000
587,Clive Owen,547700000,26,$21.10 ,Inside Man,88500000
588,David Oyelowo,622400000,16,$38.90 ,Rise of the Planet of the Apes,176800000
589,Lee Pace,1955400000,18,$108.60 ,Captain Marvel,416000000
590,Al Pacino,1457300000,39,$37.40 ,The Godfather,135000000
591,Ellen Page,730900000,17,$43.00 ,Inception,292600000
592,Adrianne Palicki,210400000,4,$52.60 ,G.I. Joe: Retaliation,122500000
593,Teresa Palmer,536100000,17,$31.50 ,Bedtime Stories,110100000
594,Gwyneth Paltrow,2965100000,35,$84.70 ,Avengers: Infinity War,678800000
595,Hayden Panettiere,338400000,12,$28.20 ,Remember the Titans,115700000
596,Anna Paquin,997600000,20,$49.90 ,X-Men: The Last Stand,234400000
597,Sarah Jessica Parker,990600000,29,$34.20 ,Sex and the City,152600000
598,Trey Parker,264600000,1,$264.60 ,Despicable Me 3,264600000
599,Dev Patel,449500000,10,$45.00 ,Slumdog Millionaire,141300000
600,Robert Pattinson,1745900000,16,$109.10 ,The Twilight Saga: Eclipse,300500000
601,Paula Patton,631300000,14,$45.10 ,Mission: Impossible 4,209400000
602,Sarah Paulson,549200000,15,$36.60 ,Ocean's 8,140200000
603,Bill Paxton,1550600000,18,$86.10 ,Titanic,659400000
604,Guy Pearce,1213200000,34,$35.70 ,Iron Man 3,409000000
605,Jordan Peele,167200000,3,$55.70 ,Captain Underpants,73900000
606,Amanda Peet,882000000,26,$33.90 ,2012,166100000
607,Simon Pegg,2978000000,23,$129.50 ,Star Wars: The Force Awakens,936700000
608,Michael Pena,1900700000,29,$65.50 ,The Martian,228400000
609,Kal Penn,415200000,13,$31.90 ,Superman Returns,200100000
610,Sean Penn,867600000,39,$22.20 ,Angry Birds,107500000
611,Piper Perabo,581200000,16,$36.30 ,Cheaper by the Dozen,138600000
612,Ron Perlman,942000000,23,$41.00 ,Fantastic Beasts and Where To Find Them,234000000
613,Alex Ross Perry,28200,1,$28.2k,7 Chinese Brothers,28200
614,Matthew Perry,200900000,7,$28.70 ,17 Again,64200000
615,Tyler Perry,1231100000,21,$58.60 ,Gone Girl,167800000
616,Alex Pettyfer,259400000,7,$37.10 ,Magic Mike,113700000
617,Michelle Pfeiffer,1768500000,40,$44.20 ,Ant-Man and the Wasp,216600000
618,Ryan Phillippe,415100000,17,$24.40 ,I Know What You Did Last Summer,72600000
619,Joaquin Phoenix,1020500000,31,$32.90 ,Signs,228000000
620,Rosamund Pike,746600000,23,$32.50 ,Gone Girl,167800000
621,Chris Pine,1850900000,21,$88.10 ,Wonder Woman,412600000
622,Jada Pinkett-Smith,1927800000,24,$80.30 ,The Matrix Reloaded,281600000
623,Freida Pinto,406200000,8,$50.80 ,Rise of the Planet of the Apes,176800000
624,Brad Pitt,2721100000,42,$64.80 ,World War Z,202400000
625,Aubrey Plaza,178600000,14,$12.80 ,Funny People,51900000
626,Jesse Plemons,551500000,15,$36.80 ,The Post,81900000
627,Christopher Plummer,1389700000,34,$40.90 ,National Treasure,173000000
628,Sidney Poitier,86000000,2,$43.00 ,Guess Who's Coming to Dinner,56700000
629,Sydney Pollack,533300000,10,$53.30 ,Tootsie,177200000
630,Sarah Polley,116200000,19,$6.10 ,Dawn of the Dead,59000000
631,Imogen Poots,136600000,17,$8.00 ,Need for Speed,43600000
632,Natalie Portman,2111100000,32,$66.00 ,The Phantom Menace,474500000
633,Parker Posey,599700000,34,$17.60 ,Superman Returns,200100000
634,Franka Potente,360000000,9,$40.00 ,The Bourne Supremacy,176200000
635,Bel Powley,25900000,7,$3.70 ,White Boy Rick,24000000
636,Chris Pratt,3739300000,20,$187.00 ,Avengers: Infinity War,678800000
637,"Freddie Prinze, Jr.",518700000,16,$32.40 ,Scooby-Doo,153300000
638,Jonathan Pryce,1583100000,35,$45.20 ,Dead Man's Chest,423300000
639,James Purefoy,187900000,6,$31.30 ,John Carter,73100000
640,Dennis Quaid,1841100000,58,$31.70 ,The Day After Tomorrow,186700000
641,Randy Quaid,948700000,38,$25.00 ,Independence Day,306200000
642,Daniel Radcliffe,2636000000,17,$155.10 ,Harry Potter / Deathly Hallows (P2),381200000
643,Josh Radnor,718000,3,$239k,Liberal Arts,327000
644,Edgar Ramirez,620300000,11,$56.40 ,The Bourne Ultimatum,227500000
645,Harold Ramis,11600000,1,$11.60 ,The Last Kiss (2006),11600000
646,Noomi Rapace,359400000,10,$35.90 ,Sherlock Holmes 2,186800000
647,Emily Ratajkowski,52400000,2,$26.20 ,I Feel Pretty,48800000
648,Jackson Rathbone,1307300000,6,$217.90 ,The Twilight Saga: Eclipse,300500000
649,Max Records,107700000,2,$53.80 ,Where the Wild Things Are,77200000
650,Lance Reddick,120600000,6,$20.10 ,Don't Say a Word,55000000
651,Robert Redford,1654600000,32,$51.70 ,Captain America 2,259800000
652,Eddie Redmayne,686800000,11,$62.40 ,Fantastic Beasts and Where To Find Them,234000000
653,Crystal Reed,21500000,2,$10.70 ,Skyline,21400000
654,Christopher Reeve,427800000,15,$28.50 ,Superman,134500000
655,Keanu Reeves,1963400000,47,$41.80 ,The Matrix Reloaded,281600000
656,John C. Reilly,2221000000,41,$54.20 ,Guardians of the Galaxy,333200000
657,Rob Reiner,117000000,2,$58.50 ,The Wolf of Wall Street,116900000
658,Jeremy Renner,3141800000,25,$125.70 ,The Avengers,623400000
659,Ryan Reynolds,2076800000,34,$61.10 ,Deadpool,363100000
660,Giovanni Ribisi,1928400000,32,$60.30 ,Avatar,760500000
661,Christina Ricci,743700000,35,$21.20 ,Addams Family,113500000
662,Denise Richards,365600000,12,$30.50 ,World Is Not Enough,126900000
663,Alan Rickman,1784200000,27,$66.10 ,Harry Potter / Deathly Hallows (P2),381200000
664,Daisy Ridley,1774900000,4,$443.70 ,Star Wars: The Force Awakens,936700000
665,Rob Riggle,993700000,16,$62.10 ,The Lorax,214000000
666,Noah Ringer,131800000,1,$131.80 ,The Last Airbender,131800000
667,AnnaSophia Robb,272800000,9,$30.30 ,Bridge to Terabithia,82300000
668,Margot Robbie,824500000,11,$75.00 ,Suicide Squad,325100000
669,Tim Robbins,890500000,38,$23.40 ,War of the Worlds,234300000
670,Emma Roberts,468200000,20,$23.40 ,We're the Millers,150400000
671,Julia Roberts,2916500000,45,$64.80 ,Ocean's Eleven,183400000
672,Chris Rock,1603000000,23,$69.70 ,Madagascar 3,216400000
673,Sam Rockwell,1167400000,39,$29.90 ,Iron Man 2,312400000
674,Gina Rodriguez,341000000,9,$37.90 ,Ferdinand,84400000
675,Michelle Rodriguez,2410600000,20,$120.50 ,Avatar,760500000
676,Seth Rogen,2229500000,26,$85.70 ,Kung Fu Panda,215400000
677,Elisabeth Rohm,56500000,1,$56.50 ,Joy,56500000
678,Rebecca Romijn,680400000,8,$85.10 ,X-Men: The Last Stand,234400000
679,Saoirse Ronan,337800000,17,$19.90 ,The Grand Budapest Hotel,59300000
680,Michael Rooker,1439400000,32,$45.00 ,Guardians of the Galaxy 2,389800000
681,Emmy Rossum,363300000,13,$27.90 ,The Day After Tomorrow,186700000
682,Eli Roth,58500,1,$58.5k,Aftershock,58500
683,Jessica Rothe,251300000,7,$35.90 ,La La Land,151100000
684,Mickey Rourke,842300000,36,$23.40 ,Iron Man 2,312400000
685,Brandon Routh,203100000,3,$67.70 ,Superman Returns,200100000
686,Gena Rowlands,358200000,21,$17.10 ,The Notebook,81000000
687,Paul Rudd,2499400000,36,$69.40 ,Avengers: Endgame,452400000
688,Mark Ruffalo,3358700000,37,$90.80 ,Avengers: Infinity War,678800000
689,Geoffrey Rush,1714800000,32,$53.60 ,Pirates of the Caribbean 3,309400000
690,Alex Russell,180200000,4,$45.10 ,Unbroken,115600000
